project_name,customer_or_org,agency,supplier_or_winner,budget_amount_yuan,deadline_normalized,publish_date_normalized,contact_name,contact_phone,address,project_id,url
采购高端彩色超声多普勒诊断仪,开江县人民医院,开江县政府采购中心,,2150000,2026-07-17 09:30:00,2026-07-10,廖老师,0818-5282223,四川省开江县龙池街72号（采购人地址）；四川省达州市开江县开江县橄榄路369号政务中心5楼（代理机构地址）,N5117232026000036,https://www.ggzy.gov.cn/information/deal/html/b/510000/0201/20260710/0051991c657a149b4881a6119ea0b02fa60e.html
智慧畜牧大数据平台建设,开江县畜牧业发展服务中心,开江县政府采购中心,,1550000,2026-07-24 09:30:00,2026-07-10,李老师,0818-5282223；0818-5282221,开江县西大街362号（采购人）；开江县橄榄路369号政务中心5楼（代理机构）,N5117232026000014,https://www.ggzy.gov.cn/information/deal/html/b/510000/0201/20260710/00512edc16bad9f54aea9b79cd07913087be.html
聊城市人民医院（总院区、脑科院区）合同能源管理服务项目设备采购 2、项目类别：货物类 3、,聊城市财信新能源有限公司,山东东岳项目管理有限公司,,4420000,2026-07-30 09:00:00,2026-07-10 10:30:00,闫科长、崔工、李工,0635-2125686；0635-2991509,山东省聊城市江北水城旅游度假区梧桐路南现代明珠广场C座（采购人地址）；聊城市高新区九州长江路111号4号办公楼（代理机构地址）；开标地点：聊城市阳光采购服务平台不见面开标系统,0037d5dbda827e164348900c1cc19bc6b0d8,https://www.ggzy.gov.cn/information/deal/html/b/370000/9001/20260710/0037d5dbda827e164348900c1cc19bc6b0d8.html
人民医院购买洗涤服务,开江县人民医院,开江县政府采购中心,,890012.74,2026-07-23 09:30:00,2026-07-10,,0818-5282223,四川省开江县龙池街72号,N5117232026000039,https://www.ggzy.gov.cn/information/deal/html/b/510000/0201/20260710/0051da33af4d66074cc2af075a22e8102bea.html
,榆阳区麻黄梁镇人民政府,榆林众旺建设工程招标代理有限责任公司,陕西中翔嘉御建设工程有限公司,860056,,2026-07-10,,15229441123,榆阳区麻黄梁镇麻黄梁村,2026YLZW-ZBDL-06,https://www.ggzy.gov.cn/information/deal/html/b/610000/0202/20260710/006125ee7be210674f05897b855fd23fea5d.html
,融安县易地搬迁服务中心,广西广汇源项目管理有限公司,广西亿腾建筑工程有限公司,1646399.09,,2026-07-10,,0772-3993686,融安县长安镇立新街126号（原政府大院政府办办公楼三楼）,LZZC2026-C2-240068-GXGH,https://www.ggzy.gov.cn/information/deal/html/b/450000/0202/20260710/0045a104ae27a9a44106b8a3b3189371d939.html
,色达县住房和城乡建设局,中泰民顺建设集团有限公司,中维国际工程设计有限公司,528300,,2026-07-10,,0836-2608331,色达县金马大道东路6号,N5133332026000054,https://www.ggzy.gov.cn/information/deal/html/b/510000/0202/20260710/00519dc0ebd9f8664fef9445245325b1a164.html
,杭州市临平区崇信小学,杭州市公共资源交易中心临平分中心（杭州市临平区政府采购中心）,杭州威达计算机网络工程有限公司,607560,,2026-07-10,赵军营,0571-86278203,杭州市临平区崇信小学向阳校区崇贤街道龙腾街198号,330113260530440000017-HZLPZFCG-2026-047,https://www.ggzy.gov.cn/information/deal/html/b/330000/0202/20260710/003370c8c05809264304b929ea1139ffde0a.html
